First Name,Surname,Age,DOB,TSB 30/6/2018,CC FYE 30/6/18,TSB 30/6/2019,CC FYE 30/6/19,TSB 30/6/20,CC FYE 30/6/20,TSB 30/6/21,CC 30/6/21,TSB 30/6/22,CC 30/6/22,,,,
Catherine,Obrien,39,10/18/1982,$553,"$3,560","$4,401",$0,"$4,375","$19,580","$28,266","$17,800","$44,546","$7,840",,SF Returns,%,Plus 1
Michael,Salinas,40,7/12/1982,$493,"$1,780","$2,432",$0,"$2,418","$7,120","$11,255","$14,240","$24,653","$5,880",,2021–22,-3.30%,96.70%
Luke,Cisneros,42,3/07/1980,$522,"$19,580","$21,509","$25,000","$46,230","$3,560","$58,752","$16,020","$72,305","$23,520",,2020–21,18.00%,118.00%
Janet,Travis,42,1/01/1980,$573,$0,$613,"$25,000","$25,460","$10,680","$42,645","$17,800","$58,450","$23,520",,2019–20,-0.60%,99.40%
Carolyn,Zimmerman,42,8/22/1979,$863,"$14,240","$16,160","$21,360","$37,295","$8,900","$54,510","$1,780","$54,432","$3,920",,2018–19,7.00%,107.00%
Elizabeth,Parker,43,12/02/1978,$803,"$7,120","$8,478","$3,560","$11,966","$1,780","$16,220","$19,580","$34,618","$21,560",,,,
Leanne,Francis,43,5/02/1979,$866,"$7,120","$8,545","$10,680","$19,110","$12,460","$37,252","$3,560","$39,465","$17,640",,,,
Markus,Walters,44,7/23/1978,$854,"$12,460","$14,246","$16,020","$30,084","$16,020","$54,403","$3,560","$56,050","$15,680",,,,
Christopher,Franklin,44,3/30/1978,"$2,078","$7,120","$9,842","$7,120","$16,860","$21,360","$45,100","$23,140","$65,988","$15,680",,,,
Timothy,Perez,44,3/22/1978,"$2,023","$7,120","$9,782","$5,340","$15,032","$25,000","$47,237",$0,"$45,679",$0,,,,
Kirralee,Washington,44,12/30/1977,"$2,079","$8,900","$11,748","$21,360","$32,909","$7,120","$47,234","$8,900","$54,282",$0,,,,
Glenn,Moran,45,8/03/1976,"$2,057","$5,340","$7,915","$5,340","$13,175","$8,900","$26,049","$25,000","$49,364","$11,760",,,,
Adam,Hoover,46,1/23/1976,"$5,539","$5,340","$11,640","$17,800","$29,263","$14,240","$51,334","$23,140","$72,016","$7,840",,,,
Lisa,Reed,46,5/14/1976,"$5,555","$3,560","$9,753","$14,240","$23,849","$14,240","$44,945",$0,"$43,461","$27,500",,,,
Julie,Hammond,46,3/27/1976,"$5,537","$23,140","$30,685","$3,560","$34,039","$12,460","$54,869","$21,360","$73,714","$9,800",,,,
Laura,Lucas,47,5/10/1975,"$5,537","$14,240","$21,161","$5,340","$26,342","$1,780","$33,184","$16,020","$47,580","$11,760",,,,
Cameron,Dennis,49,10/31/1972,"$6,116","$7,120","$14,162","$3,560","$17,616","$5,340","$27,088","$5,340","$31,358","$27,500",,,,
Terence,Bell,49,11/21/1972,"$6,139","$16,020","$23,710","$17,800","$41,261","$23,140","$75,993","$25,000","$97,660","$9,800",,,,
Janet,Spears,49,12/15/1972,"$6,129","$17,800","$25,604","$8,900","$34,297","$16,020","$59,374","$17,800","$74,627","$21,560",,,,
Brett,Hawkins,50,4/14/1972,"$6,140","$23,140","$31,330","$19,580","$50,604","$17,800","$80,717","$19,580","$96,987","$13,720",,,,
Jeremy,Bean,51,8/08/1970,"$6,985","$19,580","$28,424","$12,460","$40,639","$5,340","$54,255",$0,"$52,465","$21,560",,,,
Simon,Mahoney,51,10/27/1970,"$7,024","$23,140","$32,275","$19,580","$51,544","$12,460","$75,525","$14,240","$86,802","$13,720",,,,
Janette,Torres,51,6/22/1971,"$7,031","$5,340","$13,237","$12,460","$25,543","$19,580","$53,245","$7,120","$58,373","$5,880",,,,
Patrick ,Douglas,52,9/12/1969,"$6,938","$8,900","$16,947","$5,340","$22,153","$10,680","$38,743","$12,460","$49,513","$5,880",,,,
Timothy,Bullock,52,3/26/1970,"$7,268","$19,580","$28,728","$17,800","$46,249","$7,120","$62,975","$16,020","$76,388","$7,840",,,,
